국제표준연속 간행물번호(전자식),국제표준연속 간행물번호(종이식),학술지명(국문),학술지명(외국어),등재 구분,학술지 연구분야,창간년도,발행간기,사용언어,발행기관명(국문),발행기관명(영문),부설연구소 소속 대학,기관 구분
20929374,3786471,대한안과학회지,Journal of The Korean Ophthalmological Society,등재,의약학 > 안과학,1958,연12회,"한국어,영어",대한안과학회,The Korean Ophthalmological Society,,학회
,12269239,Journal of Plant Biology(한국식물학회지),Journal of Plant Biology,등재,자연과학 > 생물학,1958,연6회,"영어,영어",한국식물학회,The Botanical Society Of Korea,,학회
,1225133X,사학연구,The Review of Korean History,등재,인문학 > 역사학,1958,연4회,"한국어,한문",한국사학회,The Historical Society Of Korea,,학회
,12290289,서양사론,The Western History Review,우수등재,인문학 > 역사학,1958,연4회,"한국어,영어",한국서양사학회,The Korean Society For Western History,,학회
20926529,,대한이비인후과학회지 두경부외과학,Korean Journal of Otorhinolaryngology Head and Neck Surgery,등재,의약학 > 이비인후과학,1958,연12회,"한국어,영어",대한이비인후과학회,Korean Society of Otorhinolaryngology-Head and Neck Surgery,,학회
,17399904,법제,,등재후보,사회과학 > 법학,1958,연4회,"한국어,영어",법제처,Ministry of Government Legislation,,일반기관
27139867,12263958,국어교육,Korean Language Education,등재,인문학 > 한국어와문학,1958,연4회,"한국어,영어",한국어교육학회,The Society  Of  Korean Language Education ,,학회
22886796,22886575,Annals of Surgical Treatment and Research,Annals of Surgical Treatment and Research,등재,의약학 > 일반외과학,1958,연12회,한국어,대한외과학회,The Korean Surgical Society,,학회
,5496047,농업경제연구,The Korean Journal of Agricultural Economics,등재,사회과학 > 농업경제학,1958,연4회,"한국어,영어",한국농업경제학회,The Korean Agricultural Economics Association,,학회
27134148,,Clinical and Experimental Pediatrics,Clinical and Experimental Pediatrics,등재,의약학 > 소아과학,1958,연12회,"영어,영어",대한소아청소년과학회,The Korean Pediatric Society,,학회
4548124,12256951,Kyungpook Mathematical Journal,Kyungpook Mathematical Journal,등재,자연과학 > 수학,1958,연4회,"영어,영어",경북대학교 자연과학대학 수학과,,,학회
26720736,15981584,고려법학,Korea Law Review,등재,사회과학 > 법학,1958,연4회,"한국어,영어",법학연구원,Legal Research Institute of Korea University ,고려대학교,대학부설연구소
,12293598,국방연구,,등재,사회과학 > 정책학,1958,연4회,"한국어,영어",국가안전보장문제연구소,Research Institute for National Security Affairs,국방대학교,대학부설연구소
27137104,12264385,아세아연구,The Journal of Asiatic Studies,등재,사회과학 > 지역학,1958,연4회,"한국어,영어",아세아문제연구원,Asiatic Research Institute,고려대학교,대학부설연구소
,17383242,법학논총,Dankook Law Riview,등재,사회과학 > 법학,1958,연4회,"한국어,영어",법학연구소,Institute for legal study ,단국대학교,대학부설연구소
,12292478,경희법학,Kyung Hee Law Journal,등재,사회과학 > 법학 > 법학일반 > 비교법학,1958,연4회,"한국어,영어",법학연구소,"The Institute of Legal Studies, Kyunghee University",경희대학교,대학부설연구소
,12268577,독어독문학,Koreanische Zeitschrift fur Germanistik,등재,인문학 > 독일어와문학,1959,연4회,"한국어,독일어",한국독어독문학회,Koreanische Gesellschaft fur Germanistik,,학회
23839171,12267147,국토계획,Journal of Korea Planning Association,우수등재,공학 > 공학일반,1959,연7회,"한국어,영어",대한국토·도시계획학회,Korea Planners' Association,,학회
2288355X,22883541,Family and Environment Research,Family and Environment Research,등재,자연과학 > 생활과학,1959,연4회,"한국어,영어",대한가정학회,Korean Home Economic Association,,학회
20053789,3012875,대한치과보철학회지,The Journal of Korean Academy of Prosthodontics,등재,의약학 > 치의학,1959,연4회,"한국어,영어",대한치과보철학회,The Korean Academy Of Prosthodontics,,학회
27338916,1229506X,한국정치학회보,Korean Political Science Review,우수등재,사회과학 > 정치외교학,1959,연6회,"한국어,영어",한국정치학회,The Korean Political Science Association,,학회
,12251933,國語學,Journal of Korean Linguistics,우수등재,인문학 > 한국어와문학,1959,연4회,"한국어,영어",국어학회,,,학회
27140113,1598222X,서울대학교 법학,,등재,사회과학 > 법학,1959,연4회,한국어,법학연구소,The Law Research Institute Seoul National University,서울대학교,대학부설연구소
,12290580,영미어문학,Studies in British and American Language and Literature,등재,인문학 > 영어와문학,1959,연4회,"한국어,영어",한국영미어문학회,The British and American Language and Literature Association of Korea,,학회
,12296406,어문론집,The Journal of Lang. & Lit.,등재,인문학 > 한국어와문학,1960,연4회,"한국어,영어",중앙어문학회,The Society Of Chung-Ang Lang. & Lit.,,학회
,22889841,통일인문학,,등재,인문학 > 기타인문학,1960,연4회,한국어,인문학연구원,Konkuk University Humanities Reseach Institute,건국대학교,대학부설연구소
19762437,5135796,Yonsei Medical Journal,Yonsei Medical Journal,등재,의약학 > 의학일반,1960,연12회,"영어,영어",연세대학교의과대학,Yonsei University College of Medicine,,학회
27137627,4944739,대한피부과학회지,Korean Journal  of Dermatology,등재,의약학 > 피부과학,1960,연10회,"한국어,영어",대한피부과학회,Korean Dermalogical Association,,학회
25867369,,한국언론학보,Korean Journal of Journalism & Communication Studies,우수등재,사회과학 > 신문방송학,1960,연6회,"한국어,영어",한국언론학회,Korean Society For Journalism And Communication Studies,,학회
,5404568,미술자료,MISULJARYO,등재,예술체육학 > 미술 > 미술일반 > 미술사,1960,연1회,"한국어,영어",국립중앙박물관,National Museum of Korea,,학회
,12252565,미술사학연구,KOREAN JOURNAL OF ART HISTORY,우수등재,예술체육학 > 미술,1960,연4회,"한국어,영어",한국미술사학회,Art History Association Of Korea,,학회
2466054X,24660493,Investigative and Clinical Urology,Investigative and Clinical Urology,등재,의약학 > 비뇨기과학,1960,연6회,영어,대한비뇨의학회,The Korean Urological Association,,학회
24680842,24680834,Applied Biological Chemistry,Applied Biological Chemistry,등재,농수해양학 > 농학 > 농화학,1960,부정기,영어,한국응용생명화학회,The Korean Society For Applied Biological Chemistry,,학회
,12295302,고문화,KOMUNHWA (Korea Antiquity),등재,인문학 > 역사학,1961,연2회,"한국어,한국어",한국대학박물관협회,Korean Association Of University Museums,,학회
22890041,3744914,새물리,New Physics: Sae Mulli,등재,자연과학 > 물리학,1961,연12회,"한국어,영어",한국물리학회,The Korean Physical Society,,학회
27339343,233900,Korea Journal,Korea Journal,등재,인문학 > 한국어와문학,1961,연4회,영어,한국학중앙연구원,The Academy of Korean Studies,한국학중앙연구원,대학부설연구소
24661392,24661384,대한수의학회지,Korean J. of Veterinary Research,등재,의약학 > 수의학,1961,연4회,"한국어,영어",대한수의학회,The Korean Society Of Veterinary Science,,학회
22890963,10154817,신경정신의학,JOURNAL OF THE KOREAN NEUROPSYCHIATRIC ASSOCIATION,등재,의약학 > 정신과학,1962,연4회,"한국어,영어",대한신경정신의학회,Korean Neuropsychiatric Association,,학회
26718286,1226850x,중국학보,the CHUNG KUK HAK PO,등재,인문학 > 중국어와문학,1962,연4회,"한국어,중국어",한국중국학회,,,학회
,12250643,사회과교육,sahoekwakyoyuk(social studies education),등재,사회과학 > 교육학,1962,연4회,"한국어,한국어",한국사회과교육연구학회,Korean Social Studies Association,,학회
2287545X,12250171,한국응용곤충학회지,Korean Journal of Applied Entomology,등재,농수해양학 > 농학 > 농생물,1962,연4회,"한국어,영어",한국응용곤충학회,Korean Society Of Applied Entomology,,학회
22888241,17388228,대한금속·재료학회지,Korean Journal of Metal and Materials,등재,공학 > 재료공학,1962,연12회,"한국어,영어",대한금속·재료학회,The Korean Institute Of Metals And Meterials,,학회
27338665,12253928,어문론총,Eo-Mun-Lon-Chong,등재,인문학 > 한국어와문학,1962,연4회,"한국어,한국어",한국문학언어학회,,,학회
,20931875,항도부산,HANGDO BUSAN,등재,인문학 > 역사학,1962,연2회,한국어,부산광역시사편찬위원회,,,학회
25866621,25866613,한국산림과학회지,Journal of Korean Society of Forest Science ,등재,농수해양학 > 임학,1962,연4회,"한국어,영어",한국산림과학회,Korean Society of Forest Science,,학회
,1598429X,원광법학,,등재,사회과학 > 법학 > 기타법학,1962,연4회,한국어,법학연구소,Journal of Law research,원광대학교,대학부설연구소
,12296694,행정논총,,등재,사회과학 > 행정학,1962,연4회,한국어,한국행정연구소,Korean Institute of Public Affairs,서울대학교,대학부설연구소
27137600,12250783,어문연구,EOMUNYEONGU,등재,인문학 > 한국어와문학,1962,연4회,"한국어,영어",어문연구학회,The Research Socierty Of Language And Literature,,학회
26717697,12259241,아시아여성연구,,등재,복합학 > 여성학,1962,연3회,한국어,아시아여성연구원,Research Institute of Asian Women ,숙명여자대학교,대학부설연구소
27338738,12291730,한국언어문학,Korean Language & Literature,등재,인문학 > 한국어와문학,1963,연4회,"한국어,한국어",한국언어문학회,Korean Language & Literature,,학회
17380006,234001,The Korean Journal of Parasitology,The Korean Journal of Parasitology,등재,의약학 > 예방의학,1963,연6회,"영어,영어",대한기생충학ㆍ열대의학회,The Korean Society For Parasitology and Tropical Medicine,,학회
22879633,12251380,수학교육,The Mathematical Education,등재,사회과학 > 교육학 > 교과교육학,1963,연4회,"한국어,한국어",한국수학교육학회,,,학회
27138763,12269727,철학연구,"Philosophia , Journal of Korean Philosophical Society",등재,인문학 > 철학,1963,연4회,"한국어,한국어",대한철학회,Korean Philosophical Society,,학회
,12256633,대한지리학회지,Journal of the Korean Geographical Society,우수등재,사회과학 > 지리학,1963,연6회,"한국어,영어",대한지리학회,,,학회
25862146,12266736,새국어교육,KOREAN EDUCATION,등재,인문학 > 한국어와문학 > 국어교육,1963,연4회,"한국어,영어",한국국어교육학회,The Association of Korean Education,,학회
