국제표준연속 간행물번호(전자식),국제표준연속 간행물번호(종이식),학술지명(국문),학술지명(외국어),등재 구분,학술지 연구분야,창간년도,발행간기,사용언어,발행기관명(국문),발행기관명(영문),부설연구소 소속 대학,기관 구분
27140032,12259993,사회과학연구,Kookmin Social Science Reviews,등재후보,사회과학 > 사회과학일반 > 기타사회과학일반,1988,연2회,"한국어,영어",사회과학연구소,The Institute of Social Sciences,국민대학교,대학부설연구소
,1976698X,한국초등교육,Korean Journal of Elementary Education,등재,사회과학 > 교육학 > 기타교육학,1988,연4회,"한국어,영어",초등교육연구원,Elementary Education Research Center,서울교육대학교,대학부설연구소
,12250201,Seoul Journal of Korean Studies,Seoul Journal of Korean Studies,등재,사회과학 > 지역학 > 동아시아 > 한국,1988,연2회,영어,규장각한국학연구원,Kyujanggak Institute for Korean Studies,서울대학교,대학부설연구소
2733466X,12269654,한국심리학회지: 인지 및 생물,Korean Journal of Cognitive and Biological Psychology,등재,사회과학 > 심리과학,1989,연4회,"한국어,영어",한국인지및생물심리학회,Korean Society For Cognitive and Biological Psychology ,,학회
2287156X,12290475,대한물리치료학회지,The Journal of Korean Society of Physical Therapy,등재,의약학 > 물리치료학 > 기타물리치료학,1989,연6회,"한국어,영어",대한물리치료학회 ,The Journal of Korean Physical Therapy,,학회
,15981053,해사법연구,MARITIME LAW REVIEW,등재,사회과학 > 법학,1989,연3회,"한국어,영어",한국해사법학회,The Korea Institute Of Maritime Law,,학회
22883371,12258598,한국어류학회지,Korean Journal of Ichthyology,등재,농수해양학 > 수산학,1989,연4회,"한국어,영어",한국어류학회,The Ichthyological Society Of Korea,,학회
,12262811,한국이슬람학회논총,Annals of Korean Association of the Islamic Studies,등재,인문학 > 종교학,1989,연3회,"한국어,영어",한국이슬람학회,Korean Association Of The Islamic Studies,,학회
2713847X,12256137,한국어교육,Journal of Korean Language Education,등재,인문학 > 한국어와문학,1989,연5회,"한국어,영어",국제한국어교육학회,The International Association For Korean Language Education,,학회
,12263109,한국가구학회지,Journal of the Korea furniture Society,등재,예술체육학 > 디자인 > 환경디자인 > 생활/실내디자인,1989,연4회,"한국어,영어",한국가구학회,Korea Furniture Society,,학회
,12290424,관광레저연구,Journal of Tourism and Leisure Research,등재,사회과학 > 관광학,1989,연12회,"한국어,영어",(사)한국관광레저학회,The Korea Academic Society Of Tourism And Leisure,,학회
27338509,12290092,사회경제평론,The Review of Social & Economic Studies,등재,사회과학 > 경제학,1989,연3회,"한국어,한국어",한국사회경제학회,Korean Association for Political Economy,,학회
,12266582,알타이학보,ALTAI HAKPO,등재,인문학 > 기타인문학,1989,연1회,"한국어,다수언어",한국알타이학회,The Altaic Society Of Korea,,학회
,17387264,한국수소및신에너지학회논문집,Transactions of the Korean Hydrogen and New Energy Society,등재,공학 > 기계공학,1989,연6회,"한국어,영어",한국수소및신에너지학회,The Korean Hydrogen And New Energy Society,,학회
19414641,10163271,The Korean Journal of Defense Analysis,,등재,사회과학 > 정치외교학 > 국제정치 > 외교/안보/통일,1989,연4회,영어,한국국방연구원,,,일반기관
,12251488,한국가정과교육학회지,(Journal of Korean Home Economics Education  Association),등재,사회과학 > 교육학,1989,연4회,"한국어,영어",한국가정과교육학회,Korean Home Economics Education Association,,학회
20057288,2005727X,Korean Journal of Medical Education,korean journal of medical education,우수등재,의약학 > 기타의약학,1989,연4회,"한국어,영어",한국의학교육학회,,,학회
2287786X,12264075,사상체질의학회지,Journal of Sasang Constitutional Medicine,등재,의약학 > 한의학,1989,연4회,"한국어,영어",사상체질의학회,The Society Of Sasang Constitutional Medicine,,학회
,12296422,설비공학 논문집,Korea Journal of Air-Conditioning and Refrigeration Engineering,우수등재,공학 > 기계공학 > 기타기계공학,1989,연12회,"한국어,영어",대한설비공학회,The Society Of Air-Conditioning And Refrigerating Engineers Of Korea,,학회
22884203,12259594,지역사회간호학회지,Journal of Korean Academy of Community Health Nursing,등재,의약학 > 간호학,1989,연4회,"한국어,영어",한국지역사회간호학회,Korean Academy of Community Health Nursing,,학회
,12257478,통일문제연구,The Korean Journal of Unification Affairs,등재,사회과학 > 정치외교학,1989,연2회,"한국어,한국어",평화문제연구소,,,일반기관
,15981258,미술사학보,Korean Bulletin of Art History,등재,예술체육학 > 미술,1989,연2회,"한국어,영어",미술사학연구회,The Korean Society Of Art History,,학회
,12257796,국악원논문집,Journal of National Gugak Center,등재,예술체육학 > 음악학 > 한국음악이론/분석,1989,연2회,"한국어,한국어",국립국악원,,,일반기관
2234036X,12290033,한국염색가공학회지,Textile Coloration and Finishing ,등재,공학 > 섬유공학,1989,연4회,"한국어,영어",한국염색가공학회,The Korean Society Of Dyers And Finishers,,학회
27338460,12256420,문화역사지리,Journal of Cultural and Historical Geography,등재,사회과학 > 지리학 > 인문지리학,1989,연3회,"한국어,영어",한국문화역사지리학회,The Association Of Korean Cultural And Historical Geographers,,학회
27137244,12267112,한국지방자치학회보,Journal of Local Government Studis,등재,사회과학 > 정치외교학,1989,연4회,"한국어,영어",한국지방자치학회,Korean Association For Local Government Studies,,학회
22874054,1226363X,한국강구조학회 논문집,Journal of Korean Society of Steel Construction,등재,공학 > 토목공학,1989,연6회,"한국어,영어",한국강구조학회,Korean Society Of Steel Construction,,학회
,12299030,현대문학의 연구,Journal of Korean Modern Literature,등재,인문학 > 한국어와문학,1989,연3회,"한국어,한국어",한국문학연구학회,The Society of Korean Literary Studies,,학회
27334503,1225973X,중국어문학논집,The Journal of Chinese Languaue and Literature,등재,인문학 > 중국어와문학,1989,연6회,"한국어,중국어",중국어문학연구회,The Society For Research Of Chinese Language And Literature,,학회
2288338X,12254886,성인간호학회지,Korean Journal of Adult Nursing,등재,의약학 > 간호학,1989,연6회,"한국어,영어",한국성인간호학회,Korean Society of Adult Nursing,,학회
,12270954,법과사회,Korean Journal of Law & Society,등재,사회과학 > 법학,1989,연3회,"한국어,한국어",법과사회이론학회,Korean Law & Society Association,,학회
,15983854,사회복지연구,Korean Journal of Social Welfare Studies,등재,사회과학 > 사회복지학,1989,연4회,"한국어,영어",한국사회복지연구회,Korean Association For Social Welfare Studies,,학회
,17381592,한국도서연구,the Journal of Korean Island,등재,사회과학 > 지역학,1989,연4회,한국어,한국도서(섬)학회,,,학회
,12264067,인지과학,Korean Journal of Cognitive Science,등재,복합학 > 인지과학,1989,연4회,"한국어,영어",한국인지과학회,The Korean Society for Cognitive Science,,학회
22342842,12295515,콘크리트학회 논문집,Journal of the Korea Concrete Institute,등재,공학 > 토목공학 > 콘크리트공학 > 재료학,1989,연6회,"한국어,한국어",한국콘크리트학회,,,학회
24659738,15982718,국제경영연구,International Business Journal,등재,사회과학 > 경영학,1989,연4회,"한국어,영어",한국국제경영학회,Korean Academy of International Business,,학회
22873279,22873260,Hip and Pelvis,Hip and Pelvis,등재,의약학 > 정형외과학 > 고관절,1989,연4회,"영어,영어",대한고관절학회,The Korean Hip Society,,학회
26716402,15982335,경쟁법연구,Journal of Korean Competition Law,등재,사회과학 > 법학 > 기타법학,1989,연2회,"한국어,영어",한국경쟁법학회,Korean Competition Law Association,,학회
,12259055,한국지역개발학회지,Journal of The Korean Regional Development Association,등재,사회과학 > 국제/지역개발,1989,연5회,"한국어,영어",한국지역개발학회,The Korean Regional Development Association,,학회
20524374,12253618,Annals of Occupational and Environmental Medicine,Annals of Occupational and Environmental Medicine,등재,의약학 > 예방의학,1989,연4회,"영어,영어",대한직업환경의학회,The Korean Society of Occupational and Environmental Medicine,,학회
22341315,19760485,International Journal of Concrete Structures and Materials,International Journal of Concrete Structures and Materials,등재,공학 > 토목공학 > 콘크리트공학 > 재료학,1989,연6회,"영어,영어",한국콘크리트학회,,,학회
,1226458X,경영연구,Journal of Business Research,등재,사회과학 > 경영학,1989,연4회,"한국어,영어",한국산업경영학회,Korean Association Of Industrial Business Administrarion ,,학회
22337946,15982939,IJASS(International Journal of Applied Sports Sciences),,등재,예술체육학 > 기타예술체육,1989,연2회,영어,국민체육진흥공단 한국스포츠정책과학원,Korea Institute of Sport Science,,학회
,15988988,항공우주정책 ·법학회지,The Korean Journal of Air & Space Law and Policy,등재,사회과학 > 법학 > 기타법학,1989,연2회,"한국어,영어",한국항공우주정책법학회,Korea Society of Air & Space Law and Policy,,학회
20053894,10139087,Annals of Dermatology,,등재,의약학 > 피부과학,1989,연6회,영어,대한피부과학회,Korean Dermalogical Association,,학회
,12294756,한국행정논집,Korean Public Administration Quarterly,등재,사회과학 > 행정학,1989,연4회,한국어,한국정부학회,,,학회
,12256919,역사와 현실,YKSA WA HYNSIL,등재,인문학 > 역사학,1989,연4회,한국어,한국역사연구회,The Organization Of Korean Historians,,학회
,12292095,서양미술사학회 논문집,Journal of the Association of Western Art History,등재,예술체육학 > 미술 > 미술일반 > 미술사,1989,연2회,한국어,서양미술사학회,Association Of Western Art History,,학회
22882227,19768192,한국해안·해양공학회논문집,Journal of Korean Society of Coastal and Ocean Engineers,등재,공학 > 토목공학,1989,연6회,"한국어,영어","한국해안,해양공학회",,,학회
,12266612,민주법학,Democratic Legal Studies,등재,사회과학 > 법학,1989,연3회,"한국어,영어",민주주의법학연구회,Democratic Legal Studies Association(Delsa),,학회
26715872,20926553,한국교수불자연합학회지,Journal of Buddhist Professors in Korea,등재,인문학 > 불교학 > 응용불교학,1989,연3회,"한국어,영어",사단법인한국교수불자연합회,kbpa,,일반기관
22342451,12251623,Knee Surgery and Related Research,Knee Surgery and Related Research,등재,의약학 > 정형외과학 > 슬관절,1989,연4회,영어,대한슬관절학회,Korean Knee Society,,학회
,17389003,소비자문제연구,journal of consumer policy studies,등재,사회과학 > 사회과학일반,1989,연3회,한국어,한국소비자원,Korea Consumer Agency,,일반기관
27140520,12252379,산업과 경영,Review of Industry and Management,등재후보,사회과학 > 경영학,1989,연2회,"한국어,영어",산업경영연구소,Research Institute for Industry and Management Chungbuk National University,충북대학교,대학부설연구소
,12259969,법학논총,KOOKMIN LAW REVIEW,등재,사회과학 > 법학 > 기타법학,1989,연3회,한국어,법학연구소,Legal Research Institute Kookmin University,국민대학교,대학부설연구소
2734035X,1225469X,한국학연구,,등재,인문학 > 기타인문학,1989,연4회,"한국어,영어",한국학연구소,Center for Korean Studies,인하대학교,대학부설연구소
,15986659,음악이론포럼,Music Theory Forum,등재,예술체육학 > 음악학 > 서양음악이론/분석,1989,연2회,"한국어,영어",음악연구소,Yonsei University Institute of Music Research,연세대학교,대학부설연구소
25860283,25860283,Health & Nursing,Health & Nursing,등재후보,의약학 > 간호학 > 기타간호학,1989,연2회,"한국어,영어",이화간호과학연구소,"Ewha Research Institute of Nursing Science, Ewha Womans University",이화여자대학교,대학부설연구소
27137511,20056222,인문논총 ,,등재,인문학 > 기타인문학,1989,연3회,"한국어,영어",인문과학연구소,"Institute for Human studies, Kyungnam University",경남대학교,대학부설연구소
,12254096,사회과학연구,,등재,사회과학 > 기타사회과학,1989,연4회,한국어,사회과학연구소,The Social Science Research Institute,경성대학교,대학부설연구소
27137538,1598950X,여성학연구,PNU Journals of Women's Studies,등재,복합학 > 여성학 > 여성학이론,1989,연2회,"한국어,영어",여성연구소,"Women's  Studies Center, Pusan National University",부산대학교,대학부설연구소
2671745X,12268054,관광연구논총,Journal of Tourism Studies,등재,사회과학 > 관광학 > 기타관광학,1989,연4회,"한국어,영어",관광연구소,Tourism Research Institute Hanyang University,한양대학교,대학부설연구소
26715988,12252832,법학연구,,등재,사회과학 > 법학,1989,연2회,"한국어,영어",법학연구소,"Law Research Institute, Chungbuk National University",충북대학교,대학부설연구소
27133516,17391830,방송문화연구,,등재,사회과학 > 신문방송학,1989,연2회,"한국어,한국어",한국방송공사,,,학회
,12263230,인도철학,Korean Journal of Indian Philosophy,등재,인문학 > 철학,1989,연3회,"한국어,영어",인도철학회,Korea Society for Indian Philosophy,,학회
,12258652,한국사회와 행정연구,Korean Society and Public Administration,등재,사회과학 > 행정학,1990,연4회,"한국어,영어",서울행정학회,Seoul Association For Public Administration,,학회
,12250554,광고학연구,The Korean Journal of Advertising,등재,사회과학 > 신문방송학,1990,연8회,"한국어,영어",한국광고학회,Korea Advertising Society,,학회
27136302,1229389X,현대사회와 행정,Modern Society and Public Administration,등재,사회과학 > 사회과학일반,1990,연4회,"한국어,한국어",한국국정관리학회,The Korea Association Of Governance Studies,,학회
,17383005,관광연구저널,International Journal of Tourism and Hospitality Research,등재,사회과학 > 관광학,1990,연12회,"한국어,영어",한국관광연구학회,,,학회
,12251259,환경교육,Korean Journal of Environmental Education,등재,사회과학 > 교육학,1990,연4회,"한국어,영어",한국환경교육학회,The Korean Society for Environmental Education,,학회
,1226282X,소비자학연구,Journal of Consumer Studies,등재,사회과학 > 경제학,1990,연6회,"한국어,한국어",한국소비자학회,Korean Society Of Consumer Studies,,학회
,19762755,地域政策硏究(충북연),Regional Policy Review,등재,사회과학 > 사회과학일반,1990,연2회,"한국어,영어",충북연구원,Chungbuk Research Institute,,학회
27339262,12251399,세무학연구,korean journal of taxation research,등재,사회과학 > 회계학,1990,연4회,"한국어,한국어",한국세무학회,,,학회
,12272809,시대와 철학,EPOCH AND PHILOSOPHY -A Journal of Philosophical Thought in Korea-,등재,인문학 > 철학,1990,연4회,"한국어,한국어",한국철학사상연구회,HANPHIL,,학회
,17382556,중세근세영문학,Journal of Medieval and Early Modern English Studies,등재,인문학 > 영어와문학,1990,연3회,"한국어,영어",한국중세근세영문학회,Korean Association of Medieval and Early Modern English Studies,,학회
22875190,12298565,한국지역사회생활과학회지,The Korean Society of Community Living Science,등재,자연과학 > 생활과학,1990,연4회,"한국어,한국어",한국지역사회생활과학회,The Korean Society Of Community Living Science,,학회
22884505,12250112,공업화학,Applied Chemistry for Engineering,등재,공학 > 화학공학,1990,연6회,"한국어,영어",한국공업화학회,The Korean Society Of Industrial And Engineering Chemistry,,학회
22885641,12291218,대한한의학 방제학회지,The Journal of Herbal Formula Science,등재,의약학 > 한의학 > 기초한의학 > 방제학,1990,연4회,"한국어,영어",대한한의학방제학회,The Korean Medicine Society for the Herbal Formula Study,,학회
,12268867,연세법학,YONSEI LAW JOURNAL ,등재후보,사회과학 > 법학,1990,연2회,한국어,연세법학회,Yonsei Law Association ,,학회
25084453,25084445,의학물리,PROGRESS in MEDICAL PHYSICS,등재후보,의약학 > 방사선과학,1990,연4회,"영어,영어",한국의학물리학회,Korean Society Of Medical Physics,,학회
,1229103X,리스크관리연구,The Journal of Risk Management,등재,사회과학 > 경영학,1990,연4회,"한국어,영어",한국리스크관리학회,Korea Risk Management Society,,학회
,15988708,도덕윤리과교육,Journal of Moral & Ethics Education,등재,사회과학 > 교육학,1990,연4회,"한국어,한국어",한국도덕윤리과교육학회,The Korean Society for Moral & Ethics Education,,학회
22339183,1225729X,소아 청소년 정신의학,Korean Journal of Child & Adolescent Psychiatry,등재,의약학 > 정신과학 > 정신행동과학 > 소아/청소년정신의학,1990,연4회,영어,대한소아청소년 정신의학회,Korean Academy of Child and Adolescent Psychiatry,,학회
,12257559,형사정책연구,Korean Criminological Review,등재,사회과학 > 법학,1990,연4회,"한국어,한국어",한국형사정책연구원,Korean Institute of Criminology,,일반기관
,12266396,동의신경정신과학회지,The Korean Society of Oriental Neuropsychiatry,등재,의약학 > 한의학,1990,연4회,"한국어,영어",대한한방신경정신과학회,The Korean Society Of Oriental Neuropsychiatry,,학회
22342257,22343571,한국주거학회논문집,JOURNAL OF THE KOREAN HOUSING ASSOCIATION,등재,자연과학 > 생활과학,1990,연6회,"한국어,영어",한국주거학회,The Korean Housing Association,,학회
22879935,12266663,수학교육 논문집,Communications of Mathematical Education,등재,사회과학 > 교육학 > 교과교육학 > 수학교육학,1990,연4회,"한국어,한국어",한국수학교육학회,,,학회
,1229344X,교육사회학연구,Korean journal of sociology of education,등재,사회과학 > 교육학,1990,연4회,"한국어,영어",한국교육사회학회,The Korean Society for Sociology of Education,,학회
2191032,10168478,Molecules and Cells,Molecules and Cells,등재,자연과학 > 생물학,1990,연12회,"영어,영어",한국분자세포생물학회,The Korean Society For Molecular And Cellular Biology ,,학회
,12254746,미국헌법연구,Study on The American Constitution,등재,사회과학 > 법학 > 공법 > 헌법,1990,연3회,"한국어,영어",미국헌법학회,,,학회
,15984494,커뮤니케이션학 연구,Korean Journal of Communication Studies,등재,복합학 > 학제간연구,1990,연4회,"한국어,영어",한국커뮤니케이션학회,,,학회
25084895,25084887,Perinatology,Perinatology,등재,의약학 > 의학일반 > 기타의학일반,1990,연4회,"한국어,영어",대한주산의학회,,,학회
,12290254,한국방송학보,Korean Journal of Broadcasting and Telecommunication Studies,우수등재,사회과학 > 신문방송학,1990,연6회,"한국어,한국어",한국방송학회,Korean Association for Broadcasting & Telecommunication Studies,,학회
,12251402,회계정보연구,,등재,사회과학 > 회계학,1990,연4회,"한국어,한국어",한국회계정보학회,Korea Accounting Information Association,,학회
,12263494,재외한인연구,Studies of Koreans Abroad,등재후보,인문학 > 기타인문학,1990,연3회,"한국어,영어",재외한인학회,Association For The Studies Of Koreans Abroad(Ask),,학회
27338592,1226685X,한국스포츠심리학회지,Korean  Society of Sport Psychology,등재,예술체육학 > 체육,1990,연4회,"한국어,영어",한국스포츠심리학회,Korean Society Of Sport Psychology,,학회
,12264334,대한응급의학회지,Journal of The Korean Society of Emergency Medicine,등재,의약학 > 응급의학,1990,연6회,한국어,대한응급의학회,The Korean Society of Emergency Medicine,,학회
22337938,15982920,체육과학연구,Korean Journal of Sport Science,등재,예술체육학 > 체육,1990,연4회,"한국어,한국어",국민체육진흥공단 한국스포츠정책과학원,Korea Institute of Sport Science,,학회
,12268062,한양법학,HAN YANG LAW REVIEW,등재,사회과학 > 법학 > 법학일반 > 법해석학,1990,연4회,"한국어,한국어",한양법학회,Han Yang Law Association,,학회
,12256366,한국청소년연구,Studies on Korean Youth,등재,사회과학 > 기타사회과학,1990,연4회,"한국어,한국어",한국청소년정책연구원,National Youth Policy Institute,,일반기관
,23843209,보험금융연구,Journal of Insurance and Finance,등재,사회과학 > 경영학,1990,연4회,"한국어,영어",보험연구원,Korea Insurance Research Institute,,학회
,19761023,역사와 실학,THE YEOKSA AND SILHAK,등재,인문학 > 역사학 > 역사일반 > 기타역사일반,1990,연3회,"한국어,영어",역사실학회,Yeoksa Silhakhoe: The Historical Society of Yeoksa Silhak,,학회
,15989402,한국데이터정보과학회지,Journal of the Korean Data And Information Science Sociaty,우수등재,자연과학 > 통계학,1990,연6회,"한국어,영어",한국데이터정보과학회,,,학회
,12292036,무역상무연구,THE INTERNATIONAL COMMERCE & LAW REVIEW,등재,사회과학 > 무역학,1990,연4회,"한국어,영어",한국무역상무학회,The Korean Reserch Institute Of International Commerce & Law,,학회
22873317,12252964,동물자원연구,ANNALS OF ANIMAL RESOURCE SCIENCES,등재,농수해양학 > 축산학,1990,연4회,"한국어,영어",동물자원공동연구소,Institute of Animal Resource Research,강원대학교,대학부설연구소
2287321X,12256285,한국광학회지,Korean Journal of Optics and Photonics,등재,자연과학 > 물리학,1990,연6회,"한국어,영어",한국광학회,,,학회
27339688,1229831X,한국생산관리학회지,Journal of the Korean Production and Operations Management Society,등재,사회과학 > 경영학,1990,연4회,"한국어,영어",한국생산관리학회,The Korean Production And Operations Management Society,,학회
27135454,12256048,생성문법연구,Studies in Generative Grammar,등재,인문학 > 언어학,1990,연4회,"한국어,영어",한국생성문법학회,,,학회
20050399,20050380,Journal of Gynecologic Oncology,Journal of Gynecologic Oncology,등재,의약학 > 산부인과학 > 부인종양학/부인암,1990,연6회,"영어,영어",대한부인종양학회,Korean Society of Gynecologic Oncology,,학회
,12292893,계량경제학보,Journal of Economic Theory and Econometrics,등재,사회과학 > 경제학,1990,연4회,"영어,한국어",한국계량경제학회,,,학회
,20057164,시민인문학,Citizen and Humanities,등재후보,인문학 > 기타인문학,1990,연2회,한국어,인문학연구소  ,The Kyonggi University Center for Humanities ,경기대학교,대학부설연구소
2713833X,12250244,임상이비인후과,Journal of Clinical Otolaryngology,등재,의약학 > 이비인후과학,1990,연2회,"한국어,영어","대한이비인후과학회 부산,울산,경남 지부회","The Busan, Ulsan, Gyeoungnam Branch of The Korean Society of Otolaryngology",,학회
22877169,12265268,지질공학,The journal of Engineering Geology,등재,공학 > 자원공학,1990,연4회,한국어,대한지질공학회,The Korean Society of Engineering Geology,,학회
27139603,20925638,교육혁신연구,Journal of Educational Innovation Research,등재,사회과학 > 교육학 > 교육학일반,1990,연4회,"한국어,영어",교육발전연구소,Pusan National University Educational Development Institute,부산대학교,대학부설연구소
,12260258,한국체육과학회지,The Korean Society of Sports Science,등재,예술체육학 > 체육,1990,연6회,"한국어,영어",한국체육과학회,The Korean Society Of Sports Science,,학회
,2005002X,한국아동문학연구,KOREA CHILDREN'S LITERATURE ,등재후보,인문학 > 문학 > 아동문학,1990,연2회,"한국어,한국어",한국아동문학학회,KOREA CHILDREN'S LITERATURE SOCIETY,,학회
23837624,12267503,정신분석,Psychoanalysis,등재,의약학 > 정신과학 > 정신행동과학 > 사회/문화정신의학,1990,연4회,한국어,한국정신분석학회,Korean Psychoanalytic Society Guest Study Group Of The Ipa,,학회
,15986780,동양철학,THE JOURNAL OF ASIAN PHILOSOPHY IN KOREA,등재,인문학 > 철학,1990,연2회,"한국어,한국어",한국동양철학회,The Society for Asian Philosphy in Korea : SAPK,,학회
23836881,12269336,대한수혈학회지,The Korean Journal of Blood Transfusion,등재,의약학 > 임상병리학 > 수혈의학 > 수혈혈액학,1990,연3회,"한국어,영어",대한수혈학회,The Korean Society Of Blood Transfusion,,학회
27140555,12260568,비교문화연구,Cross-Cultural Studies,등재,사회과학 > 인류학,1990,연2회,"한국어,영어",비교문화연구소,Institute of Cross-Cultural Studies ,서울대학교,대학부설연구소
27139891,19762984,사회과학연구,,등재,사회과학 > 사회과학일반,1990,연4회,한국어,사회과학연구소,Institute of Social Sciences Chungnam National University,충남대학교,대학부설연구소
26718553,12292699,법학연구,Journal of Law,등재,사회과학 > 법학,1990,연4회,한국어,법학연구소,Chungnam National University Law Resarch Institute,충남대학교,대학부설연구소
27337634,15987779,이베로아메리카 연구,Revista Asiatica de Estudios Iberoamericanos,등재,인문학 > 스페인어와문학,1990,연3회,"한국어,스페인어",라틴아메리카연구소,Institute of Latin American Studies,서울대학교,대학부설연구소
,1226587X,언어치료연구,Journal of speech-language & hearing disorders,등재,사회과학 > 교육학,1991,연4회,"한국어,영어",한국언어치료학회,Korean Speech- Language & Hearing Association(KSHA),,학회
,1229537X,한독사회과학논총,Zeitschrift der Koreanisch-Deutschen Gesellschaft fuer Sozialwissenschaften,등재,사회과학 > 지역학,1991,연4회,"한국어,독일어",한독사회과학회,Koreanisch-Deutsche Gesellschaft Fuer Sozialwissenschaften(K-G Association For Social Sciences),,학회
22886818,22885404,Asia Pacific Journal of Information Systems,Asia Pacific Journal of Information Systems,등재,사회과학 > 경영학,1991,연4회,"영어,영어",한국경영정보학회,Korea Society Of Management Information Systems ,,학회
22885412,12264946,한국 예이츠 저널,,등재,인문학 > 영어와문학,1991,연3회,"영어,한국어",한국예이츠학회,The Yeats Society Of Korea,,학회
,12291854,한방재활의학과학회지,Journal of Korean Medicine Rehabilitation,등재,의약학 > 한의학,1991,연4회,"한국어,영어",한방재활의학과학회,The Korean Academy Of Oriental Rehabilitation Medicine,,학회
,10177825,Journal of Microbiology and Biotechnology,Journal of Microbiology and Biotechnology,등재,자연과학 > 생물학,1991,연12회,"영어,영어",한국미생물·생명공학회,The Korean Society For Microbiology And Biotechnology,,학회
,12257729,한국극예술연구,The Journal of Korean drama and theatre,등재,예술체육학 > 기타예술체육,1991,연4회,"한국어,한국어",한국극예술학회,The Learned Society Of Korean Drama And Theatre,,학회
,12266841,정책분석평가학회보,Korean Journal of Policy Analysis and Evaluation,등재,사회과학 > 정책학,1991,연4회,한국어,한국정책분석평가학회,The Korean Association For  Policy Analysis And Evaluation,,학회
22336648,15985385,한국자기학회지,Journal of the Korean Magneitcs Society,등재,자연과학 > 물리학,1991,연6회,"한국어,영어",한국자기학회,The Korean Magnetics Society,,학회
,19764871,장애와 고용,Disability & Employment,등재,사회과학 > 사회복지학 > 장애인복지,1991,연4회,"한국어,영어",한국장애인고용공단 고용개발원,Korea Employment Agency for the Disabled / Employment Development Institute,,학회
27139670,12264318,D.H. 로렌스 연구,D.H.Lawrence Studies,등재,인문학 > 영어와문학,1991,연2회,"한국어,영어",한국로렌스학회,The D.H. Lawrence Society Of  Korea,,학회
,12266051,한국임상약학회지,Korean Journal of Clinical Pharmacy,등재,의약학 > 약학,1991,연4회,"한국어,영어",한국임상약학회,Korean College Of Clinical Pharmacy,,학회
24661856,22872531,한국직업건강간호학회지,Korean Journal of Occupational Health Nursing,등재,의약학 > 간호학 > 지역사회간호 > 산업간호,1991,연4회,"한국어,영어",한국직업건강간호학회,Korean Academic Society Of Occupational Health Nursing,,학회
26718081,15983218,古文書硏究,,등재,인문학 > 역사학,1991,연2회,"한국어,한국어",한국고문서학회,The Society Of Korean Historical Manuscripts,,학회
27334295,12256706,공간과 사회,Space and Environment,등재,사회과학 > 지리학,1991,연4회,"한국어,영어",한국공간환경학회,The Korean Association Of Space And Environment Research,,학회
,12290661,한국심리학회지: 문화 및 사회문제,Korean Psychological Journal of Culture and Social Issues,등재,사회과학 > 심리과학,1991,연4회,"한국어,한국어",한국문화및사회문제심리학회,Korean Psychological Association of Culture and Social Issues,,학회
,12299952,한국공안행정학회보,korean Journal of Public Safety and Criminal Justice,등재,사회과학 > 행정학,1991,연4회,"한국어,한국어",한국공안행정학회,Korean Association Of Public Safety And Criminal Justice,,학회
27335461,12293547,한국무용교육학회지,Resach of Dance Education,등재,예술체육학 > 무용,1991,연4회,"한국어,영어",한국무용교육학회,,,학회
22882324,19769172,한국지능시스템학회 논문지,Journal of Korean Institute of Intelligent Systems,등재,공학 > 전기공학,1991,연6회,"한국어,한국어",한국지능시스템학회,Korean Institute of Intelligent Systems,,학회
22888357,22887733,수학교육학연구,The Journal of Educational Research in Mathematics,등재,사회과학 > 교육학 > 교과교육학 > 수학교육학,1991,연4회,"한국어,영어",대한수학교육학회,The Korea Society Of Educational Studies In Mathematics,,학회
27334597,1229554X,중국언어연구,Korea Journal of Chinese Linguistics,등재,인문학 > 중국어와문학,1991,연6회,"한국어,중국어",한국중국언어학회,Korea Association of Chinese Linguistics,,학회
,17381274,한국거버넌스학회보,The Korean Governance Review,등재,사회과학 > 행정학,1991,연3회,"한국어,영어",한국거버넌스학회,The Korean Association for Governance,,학회
26354624,12293180,마케팅논집(Journal of Marketing Studies),Journal of Marketing Studies,등재,사회과학 > 경영학 > 판매관리/마케팅 > 국내마케팅,1991,연4회,"한국어,영어",한국전략마케팅학회,Korean Strategic Marketing Association,,학회
,12262501,관광연구,International Journal of Tourism Management and Sciences,등재,사회과학 > 관광학 > 관광학일반,1991,연8회,"한국어,영어",대한관광경영학회,Korea Academic Society Of Tourism Management,,학회
22883266,15983560,대기,Atmosphere,등재,자연과학 > 대기과학,1991,연4회,"한국어,영어",한국기상학회,Korean Meteorological Society,,학회
22880410,22880402,Allergy Asthma & Respiratory Diseases,알레르기 천식 호흡기질환,등재,의약학 > 소아과학,1991,연4회,"한국어,영어",대한 소아알레르기 호흡기학회,The Korean Academy Of Pediatric Allergy And Respiratory Disease,,학회
,12262722,아동교육,The Korean Journal Child Education,등재후보,사회과학 > 교육학 > 분야교육 > 유아교육,1991,연4회,"한국어,영어",한국아동교육학회,The Korean Journal Of Child Education,,학회
,15980111,물류학회지,Korea Logistics Review,등재,사회과학 > 경영학,1991,연6회,"한국어,영어",한국물류학회,,,학회
,12282499,노동법연구,Labor Law Review,등재,사회과학 > 법학,1991,연2회,"한국어,한국어",서울대학교노동법연구회,,,학회
